bookingid,customerid,first_name,last_name,device_used,booking_channel,bookingid_norm
700002!,,Carlos,Rossi,Desktop,Travel Agency ,700002
700002,,Carlos,Nguyen,Tablet,Travel Agency,700002
700003,700927.0,Lina,Khan,Android,Call Center,700003
700003,,Fatima,Smith,Tablet,Condor Website,700003
700004,426083.0,Yuki,Martinez,Desktop,Call Center,700004
700004,698773.0,Omar,Schmidt,Desktop,Condor Website,700004
700005,682249.0,Ali,Tanaka,Android,Condor Website,700005
700005,,Fatima,Smith,Desktop,TRAVEL AGENCY,700005
700005,623956.0,Maya,Rossi,Android,Travel Agency,700005
700006,709956.0,Ali,Garcia,Tablet,Call Center,700006
700006,444442.0,Ali,Schmidt,Android ,Travel Agency,700006
700009,,Maya,Tanaka,Tablet,Travel Agency,700009
700009,,Alex,Smith,Tablet,Call Center,700009
700012,390604.0,Maya,Nguyen,ANDROID,Condor Website,700012
700012,,Alex,Nguyen,Android,Condor App,700012
700014,898654.0,Jamie,Nguyen,Android, Mobile App,700014
700014,293139.0,Fatima,Martinez,iphone, Call Center,700014
700015,541416.0,Fatima,Smith,Android ,Condor Website,700015
700015@,,Stefan,Smith,Desktop,Call Center ,700015
700016,,Omar,Nguyen,Android,Call Center,700016
700016,464221.0,Yuki,Smith,ANDROID,Condor Website,700016
700017,218254.0,Fatima,Rossi,Desktop,Travel Agency,700017
700017,,Fatima,Rossi,Android,Mobile App,700017
700018,412580.0,Jamie,Martinez,iPhone,Mobile App,700018
700018,,Lina,Schmidt,Tablet,Condor Website ,700018
700018,,Alex,Garcia,android,Call Center,700018
700024,682078.0,Omar,Tanaka,Tablet,TRAVEL AGENCY,700024
700024,512894.0,Yuki,Tanaka,ANDROID,Mobile App,700024
700024,551389.0,Stefan,Smith,iphone,Mobile App,700024
700025,605712.0,Ali,Dubois,iPhone,Condor Website,700025
700025,734004.0,Alex,Nguyen,Desktop,call center,700025
700026,,Maya,Smith, Desktop,Condor App,700026
700026,371040.0,Carlos,Smith,iPhone,Call Center,700026
700027 ,133895.0,Omar,Rossi, iPhone,Mobile App,700027
700027,,Yuki,Garcia,Desktop ,Call Center,700027
700030,992646.0,Stefan,Martinez,Tablet,condor website,700030
700030,,Maya,Smith,iphone,Call Center,700030
700031,474759.0,Lina,Garcia,iphone,Condor App,700031
700031,,Jamie,Rossi,iPhone,Mobile App,700031
700032!,770929.0,Maya,Khan,ANDROID,Call Center,700032
700032,890309.0,Fatima,Tanaka,Tablet,Mobile App,700032
700033,851993.0,Lina,Smith,iPhone ,Travel Agency,700033
700033,,Fatima,Müller,android,Mobile App,700033
700039,,Fatima,Müller,Tablet ,condor app,700039
700039@,,Alex,Rossi,iPhone,Condor App,700039
700041,568306.0,Alex,Müller,android,Travel Agency,700041
700041,,Ali,Martinez,iPhone,Mobile App,700041
700041,819027.0,Fatima,Garcia,Android,Mobile App,700041
700046,301444.0,Stefan,Tanaka,iphone,Travel Agency ,700046
700046,200462.0,Ali,Müller,Tablet , Condor App,700046
700049 ,,Alex,Tanaka,Tablet,Mobile App ,700049
700049,,Fatima,Martinez,iPhone,Condor Website,700049
700056,,Alex,Nguyen,Tablet,Travel Agency,700056
700056,181576.0,Ali,Dubois,Android, Call Center,700056
700065,998894.0,Fatima,Garcia,iPhone,Travel Agency,700065
700065,207170.0,Jamie,Schmidt,Tablet,Mobile App,700065
700067!,,Yuki,Rossi, Android,Mobile App ,700067
700067,,Omar,Müller,Tablet,travel agency,700067
700067,,Ali,Khan,iPhone,Travel Agency,700067
700069!,534626.0,Maya,Müller,Desktop,Condor App,700069
700069,115223.0,Maya,Schmidt,iPhone, Condor App,700069
700069,,Carlos,Müller,Tablet,Mobile App,700069
700071,,Carlos,Garcia, Tablet,Mobile App,700071
700071,,Ali,Nguyen,Android,Call Center,700071
700076,,Yuki,Garcia,Android, Condor App,700076
700076,,Carlos,Müller,android,Condor Website,700076
700076,,Fatima,Smith,iPhone,Mobile App,700076
700080,,Fatima,Schmidt,Desktop,Travel Agency,700080
700080@,610998.0,Jamie,Rossi,Android,Condor App,700080
700080,,Stefan,Dubois,iPhone,Call Center,700080
700083,,Ali,Nguyen,Desktop,Mobile App,700083
700083,,Alex,Nguyen,Android,Call Center,700083
700087,,Yuki,Nguyen,Android,Call Center ,700087
700087,,Maya,Khan,Tablet ,Travel Agency,700087
700093,806755.0,Omar,Nguyen,Desktop,Condor Website,700093
700093,333180.0,Stefan,Khan,DESKTOP,Condor App,700093
700093,,Carlos,Khan,iphone,CONDOR APP,700093
700095,891268.0,Stefan,Müller,Android,Mobile App,700095
700095,621208.0,Lina,Smith,Desktop,Condor App,700095
700095,814256.0,Omar,Rossi,Tablet,Call Center,700095
700096@,708675.0,Ali,Tanaka,Android,Condor Website,700096
700096,,Carlos,Khan,Android, Mobile App,700096
